#lambda    flux1    flux2    flux3    flux4
3900.00   0.0217   0.0285  -0.0612   0.0069
3900.91   0.0220   0.0286  -0.0544   0.0194
3901.82   0.0229   0.0296  -0.0564   0.0374
3902.73   0.0236   0.0318  -0.0571   0.0379
3903.64   0.0238   0.0338  -0.0587   0.0185
3904.56   0.0241   0.0350  -0.0624   0.0050
3905.47   0.0241   0.0367  -0.0625  -0.0050
3906.38   0.0241   0.0385  -0.0625  -0.0100
3907.29   0.0246   0.0389  -0.0623  -0.0041
3908.20   0.0257   0.0392  -0.0591   0.0204
3909.12   0.0266   0.0395  -0.0558   0.0375
3910.03   0.0270   0.0385  -0.0529   0.0449
3910.94   0.0273   0.0402  -0.0509   0.0487
3911.85   0.0275   0.0413  -0.0475   0.0482
3912.77   0.0271   0.0415  -0.0486   0.0346
3913.68   0.0264   0.0414  -0.0518   0.0155
3914.60   0.0262   0.0411  -0.0497   0.0034
3915.51   0.0268   0.0417  -0.0515   0.0050
3916.42   0.0271   0.0427  -0.0550   0.0032
3917.34   0.0270   0.0447  -0.0589  -0.0120
3918.25   0.0269   0.0466  -0.0608  -0.0231
3919.17   0.0268   0.0455  -0.0591  -0.0298
3920.08   0.0267   0.0459  -0.0567  -0.0249
3921.00   0.0268   0.0466  -0.0515  -0.0112
3921.91   0.0271   0.0462  -0.0486   0.0035
3922.83   0.0273   0.0454  -0.0459   0.0106
3923.75   0.0274   0.0445  -0.0396   0.0106
3924.66   0.0277   0.0458  -0.0382   0.0072
3925.58   0.0278   0.0472  -0.0453   0.0008
3926.49   0.0275   0.0479  -0.0526  -0.0155
3927.41   0.0269   0.0485  -0.0531  -0.0358
3928.33   0.0263   0.0498  -0.0538  -0.0560
3929.25   0.0256   0.0515  -0.0605  -0.0806
3930.16   0.0247   0.0535  -0.0667  -0.1167
3931.08   0.0232   0.0571  -0.0746  -0.1758
3932.00   0.0206   0.0591  -0.0833  -0.2443
3932.92   0.0167   0.0568  -0.0758  -0.2980
3933.84   0.0128   0.0492  -0.0557  -0.2934
3934.75   0.0122   0.0458  -0.0418  -0.2539
3935.67   0.0155   0.0498  -0.0471  -0.2219
3936.59   0.0202   0.0554  -0.0590  -0.1915
3937.51   0.0235   0.0557  -0.0633  -0.1479
3938.43   0.0252   0.0525  -0.0588  -0.0993
3939.35   0.0261   0.0504  -0.0551  -0.0635
3940.27   0.0268   0.0482  -0.0528  -0.0326
3941.19   0.0271   0.0465  -0.0507  -0.0167
3942.11   0.0270   0.0452  -0.0517  -0.0138
3943.03   0.0267   0.0446  -0.0567  -0.0218
3943.95   0.0263   0.0439  -0.0588  -0.0266
3944.87   0.0260   0.0431  -0.0548  -0.0257
3945.79   0.0263   0.0425  -0.0513  -0.0093
3946.71   0.0267   0.0403  -0.0484   0.0039
3947.64   0.0266   0.0397  -0.0497   0.0017
3948.56   0.0261   0.0405  -0.0547  -0.0106
3949.48   0.0256   0.0404  -0.0600  -0.0188
3950.40   0.0255   0.0396  -0.0586  -0.0136
3951.32   0.0254   0.0376  -0.0591  -0.0068
3952.25   0.0253   0.0376  -0.0582  -0.0012
3953.17   0.0252   0.0371  -0.0568   0.0045
3954.09   0.0253   0.0352  -0.0530   0.0184
3955.02   0.0252   0.0334  -0.0527   0.0247
3955.94   0.0246   0.0318  -0.0582   0.0135
3956.86   0.0238   0.0320  -0.0593  -0.0091
3957.79   0.0233   0.0311  -0.0606  -0.0117
3958.71   0.0233   0.0294  -0.0563   0.0165
3959.64   0.0234   0.0266  -0.0512   0.0304
3960.56   0.0229   0.0234  -0.0534   0.0339
3961.48   0.0220   0.0226  -0.0545   0.0199
3962.41   0.0210   0.0230  -0.0572   0.0024
3963.33   0.0204   0.0208  -0.0591   0.0048
3964.26   0.0198   0.0185  -0.0595   0.0046
3965.19   0.0187   0.0185  -0.0599  -0.0036
3966.11   0.0173   0.0186  -0.0596  -0.0273
3967.04   0.0150   0.0189  -0.0591  -0.0670
3967.96   0.0120   0.0192  -0.0494  -0.0983
3968.89   0.0092   0.0180  -0.0318  -0.0957
3969.82   0.0077   0.0133  -0.0160  -0.0608
3970.74   0.0082   0.0081  -0.0149  -0.0102
3971.67   0.0102   0.0043  -0.0215   0.0253
3972.60   0.0126   0.0033  -0.0339   0.0399
3973.53   0.0148   0.0051  -0.0453   0.0423
3974.45   0.0165   0.0076  -0.0502   0.0424
3975.38   0.0180   0.0097  -0.0521   0.0423
3976.31   0.0191   0.0117  -0.0525   0.0436
3977.24   0.0200   0.0131  -0.0523   0.0455
3978.17   0.0207   0.0153  -0.0496   0.0439
3979.10   0.0216   0.0177  -0.0480   0.0475
3980.03   0.0224   0.0182  -0.0464   0.0589
3980.95   0.0229   0.0192  -0.0472   0.0572
3981.88   0.0231   0.0228  -0.0489   0.0384
3982.81   0.0232   0.0255  -0.0493   0.0228
3983.74   0.0235   0.0262  -0.0502   0.0251
3984.67   0.0241   0.0278  -0.0500   0.0320
3985.60   0.0245   0.0283  -0.0471   0.0303
3986.54   0.0247   0.0285  -0.0478   0.0263
3987.47   0.0250   0.0301  -0.0454   0.0251
3988.40   0.0253   0.0312  -0.0407   0.0253
3989.33   0.0257   0.0315  -0.0395   0.0294
3990.26   0.0259   0.0318  -0.0394   0.0314
3991.19   0.0261   0.0336  -0.0413   0.0339
3992.12   0.0264   0.0335  -0.0365   0.0359
